age,job,marital,education,default,housing,loan,campaign,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m
35.0,10,0,1,0,0,0,2.0,0,1.1,93.994,-36.4,4.857
22.0,1,1,4,0,0,0,3.0,1,-1.7,94.215,-40.3,0.835
38.0,3,0,5,0,1,0,5.0,0,1.4,94.465,-41.8,4.959
25.0,3,1,3,1,1,0,2.0,0,1.4,93.918,-42.7,4.963
37.0,4,0,6,0,0,0,4.0,0,1.4,93.444,-36.1,4.964
30.0,4,1,6,1,1,0,3.0,0,1.1,93.994,-36.4,4.86
30.0,2,1,6,0,1,0,6.0,0,1.4,93.918,-42.7,4.962
52.0,1,0,1,0,0,0,3.0,0,1.1,93.994,-36.4,4.858
33.0,3,1,3,0,1,1,1.0,0,1.4,93.918,-42.7,4.962
32.0,3,0,0,1,0,1,1.0,0,1.4,93.918,-42.7,4.962
39.0,4,0,4,0,1,0,3.0,0,1.4,94.465,-41.8,4.959
38.0,0,2,1,0,1,1,1.0,0,-1.1,94.767,-50.8,1.031
51.0,7,0,4,0,0,0,3.0,0,1.1,93.994,-36.4,4.857
44.0,10,0,6,0,1,0,2.0,0,-0.1,93.2,-42.0,4.12
33.0,6,1,6,0,0,0,2.0,0,1.1,93.994,-36.4,4.855
51.0,2,2,6,0,1,0,2.0,0,1.4,93.918,-42.7,4.962
58.0,3,1,3,0,1,0,2.0,0,-1.8,92.893,-46.2,1.334
57.0,2,0,6,0,0,1,2.0,0,-0.1,93.2,-42.0,4.153
58.0,3,0,1,0,0,0,3.0,0,1.4,94.465,-41.8,4.962
39.0,10,0,2,1,0,0,3.0,0,1.1,93.994,-36.4,4.857
45.0,1,0,2,0,2,2,6.0,0,1.4,94.465,-41.8,4.864
45.0,3,2,3,0,1,0,1.0,1,-0.1,93.2,-42.0,4.12
32.0,1,0,1,0,1,0,1.0,0,-1.8,93.075,-47.1,1.405
56.0,6,2,6,1,0,0,2.0,0,1.4,93.918,-42.7,4.962
48.0,3,0,2,0,0,0,1.0,0,1.1,93.994,-36.4,4.864
28.0,1,1,1,0,0,0,1.0,0,1.4,94.465,-41.8,4.962
38.0,4,1,1,0,1,1,1.0,0,1.4,93.444,-36.1,4.965
32.0,2,0,6,0,1,0,2.0,0,-3.4,92.379,-29.8,0.803
29.0,3,0,1,0,1,1,3.0,0,1.1,93.994,-36.4,4.864
25.0,2,1,6,0,1,0,2.0,0,1.4,93.918,-42.7,4.958
48.0,6,2,6,0,1,0,2.0,0,-0.1,93.2,-42.0,4.12
36.0,2,2,1,0,0,0,4.0,0,1.1,93.994,-36.4,4.856
45.0,2,0,2,0,1,0,1.0,0,1.1,93.994,-36.4,4.857
28.0,2,0,6,0,0,0,1.0,2,-1.8,93.075,-47.1,1.365
