age,job,marital,education,default,housing,loan,campaign,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m
35,10,0,1,0,0,0,2,0,1.1,93.994,-36.4,4.857
22,1,1,4,0,0,0,3,1,-1.7,94.215,-40.3,0.835
38,3,0,5,0,1,0,5,0,1.4,94.465,-41.8,4.959
25,3,1,3,1,1,0,2,0,1.4,93.918,-42.7,4.963
37,4,0,6,0,0,0,4,0,1.4,93.444,-36.1,4.964
30,4,1,6,1,1,0,3,0,1.1,93.994,-36.4,4.86
30,2,1,6,0,1,0,8,0,1.4,93.918,-42.7,4.962
52,1,0,1,0,0,0,3,0,1.1,93.994,-36.4,4.858
33,3,1,3,0,1,1,1,0,1.4,93.918,-42.7,4.962
32,3,0,0,1,0,1,1,0,1.4,93.918,-42.7,4.962
39,4,0,4,0,1,0,3,0,1.4,94.465,-41.8,4.959
38,0,2,1,0,1,1,1,0,-1.1,94.767,-50.8,1.031
51,7,0,4,0,0,0,3,0,1.1,93.994,-36.4,4.857
44,10,0,6,0,1,0,2,0,-0.1,93.2,-42.0,4.12
33,6,1,6,0,0,0,2,0,1.1,93.994,-36.4,4.855
51,2,2,6,0,1,0,2,0,1.4,93.918,-42.7,4.962
58,3,1,3,0,1,0,2,0,-1.8,92.893,-46.2,1.334
57,2,0,6,0,0,1,2,0,-0.1,93.2,-42.0,4.153
58,3,0,1,0,0,0,3,0,1.4,94.465,-41.8,4.962
39,10,0,2,1,0,0,3,0,1.1,93.994,-36.4,4.857
45,1,0,2,0,2,2,10,0,1.4,94.465,-41.8,4.864
45,3,2,3,0,1,0,1,1,-0.1,93.2,-42.0,4.12
32,1,0,1,0,1,0,1,0,-1.8,93.075,-47.1,1.405
56,6,2,6,1,0,0,2,0,1.4,93.918,-42.7,4.962
48,3,0,2,0,0,0,1,0,1.1,93.994,-36.4,4.864
28,1,1,1,0,0,0,1,0,1.4,94.465,-41.8,4.962
38,4,1,1,0,1,1,1,0,1.4,93.444,-36.1,4.965
32,2,0,6,0,1,0,2,0,-3.4,92.379,-29.8,0.803
29,3,0,1,0,1,1,3,0,1.1,93.994,-36.4,4.864
25,2,1,6,0,1,0,2,0,1.4,93.918,-42.7,4.958
48,6,2,6,0,1,0,2,0,-0.1,93.2,-42.0,4.12
36,2,2,1,0,0,0,4,0,1.1,93.994,-36.4,4.856
45,2,0,2,0,1,0,1,0,1.1,93.994,-36.4,4.857
28,2,0,6,0,0,0,1,2,-1.8,93.075,-47.1,1.365
27,1,0,1,0,1,0,2,0,-1.8,92.893,-46.2,1.334
58,3,0,5,1,1,1,2,0,1.4,93.444,-36.1,4.964
39,3,0,3,0,1,0,3,0,-1.8,93.075,-47.1,1.445
71,5,0,0,0,0,0,2,0,-1.8,93.075,-47.1,1.423
53,0,0,6,0,1,0,1,2,-1.8,93.749,-34.6,0.644
23,2,0,1,0,0,0,4,0,-1.8,93.075,-47.1,1.405
29,2,1,3,0,1,0,3,0,-1.8,92.893,-46.2,1.281
54,2,0,6,0,1,0,3,0,-2.9,92.201,-31.4,0.869
35,3,0,0,0,0,0,8,0,1.4,93.918,-42.7,4.963
50,2,0,3,0,1,0,4,0,-1.8,92.893,-46.2,1.327
73,5,2,0,1,1,0,2,1,-1.7,94.027,-38.3,0.904
30,2,1,6,0,0,1,1,0,1.4,93.444,-36.1,4.965
21,11,1,1,1,0,0,3,0,-1.8,92.893,-46.2,1.25
47,3,0,4,1,0,1,2,0,1.1,93.994,-36.4,4.86
21,11,1,1,0,0,0,2,0,-1.1,94.601,-49.5,1.037
48,2,0,6,1,1,0,2,0,-0.1,93.2,-42.0,4.153
57,3,0,0,1,0,0,2,0,1.1,93.994,-36.4,4.857
46,6,0,3,0,1,0,1,0,-1.8,93.876,-40.0,0.672
27,2,1,1,1,1,0,1,0,1.4,93.918,-42.7,4.958
39,3,1,5,1,0,0,3,0,1.1,93.994,-36.4,4.856
54,10,0,0,1,0,1,1,0,1.1,93.994,-36.4,4.855
40,4,1,4,0,1,0,4,0,1.4,94.465,-41.8,4.865
37,6,0,6,1,0,0,2,0,1.4,93.444,-36.1,4.97
46,2,1,1,1,0,0,1,0,1.4,93.918,-42.7,4.968
38,2,0,1,0,1,0,1,1,-3.4,92.649,-30.1,0.714
30,11,1,6,0,1,0,1,0,-3.0,92.713,-33.0,0.706
41,6,0,6,0,0,0,6,0,1.4,94.465,-41.8,4.864
45,8,0,0,0,1,0,1,0,-0.1,93.2,-42.0,4.153
50,7,0,1,0,0,1,12,0,1.1,93.994,-36.4,4.858
32,3,0,2,0,0,0,4,0,-0.1,93.2,-42.0,4.076
55,2,0,1,0,0,0,2,0,-3.0,92.713,-33.0,0.718
25,4,0,4,0,0,0,3,1,-2.9,92.963,-40.8,1.26
26,4,1,6,0,0,0,1,1,-1.8,92.893,-46.2,1.259
24,1,1,3,0,0,0,1,0,1.4,93.918,-42.7,4.963
61,5,0,3,0,1,0,2,0,-2.9,92.201,-31.4,0.869
27,4,1,6,0,1,0,2,0,1.4,93.918,-42.7,4.962
43,3,0,0,0,1,0,2,0,1.1,93.994,-36.4,4.856
48,4,1,4,0,1,0,2,0,-1.8,92.893,-46.2,1.334
52,3,0,0,0,1,0,3,0,1.4,94.465,-41.8,4.865
35,6,0,6,0,1,0,1,1,-3.4,92.649,-30.1,0.715
45,2,0,6,0,0,0,1,2,-2.9,92.469,-33.6,1.029
28,8,1,6,0,1,0,2,0,-1.7,94.215,-40.3,0.846
35,4,0,6,1,1,0,1,0,-0.1,93.2,-42.0,4.12
49,3,0,0,1,1,0,1,0,1.1,93.994,-36.4,4.857
73,5,0,5,0,1,0,1,0,-1.8,93.369,-34.8,0.652
